#{"t_start": 1753846520.0343614, "env_id": "None"}
r,l,t
1833.0638,4000,997.341862
494.39944,983,997.398648
671.85736,1379,997.505808
790.90375,2253,997.979417
535.5161,1302,998.127497
1797.0676,2691,998.193694
1689.527,2518,998.510393
1262.1028,1536,1009.304525
522.4377,1383,1009.963139
255.09471,1119,1010.142046
364.32385,1004,1010.465853
735.859,1195,1021.824584
671.3272,1435,1021.889318
534.8853,943,1022.079995
691.2005,1227,1022.184805
292.94766,1234,1022.766088
338.79602,737,1023.340094
472.59305,1313,1023.472334
204.80128,718,1023.658769
286.7874,1879,1035.157704
649.83563,2619,1035.295578
322.27338,806,1035.562814
1687.2728,3082,1036.179889
452.7285,2214,1045.098821
320.28632,761,1046.229549
757.1231,1461,1046.338872
823.06635,2770,1046.895548
503.65497,2252,1047.115727
175.3892,551,1058.797811
678.36176,1515,1059.149956
1007.6199,1919,1059.482053
2047.284,3703,1059.699877
613.3678,1041,1059.931827
974.3641,1881,1060.016418
1019.48376,1807,1060.429632
521.2652,2182,1071.268749
2039.9164,3094,1071.550088
360.15643,551,1071.67438
416.85974,1217,1071.830568
742.33484,1423,1071.878612
894.8577,2962,1072.338312
136.60452,368,1072.465323
804.3035,996,1072.547342
235.83037,812,1072.781264
728.21497,1196,1083.646696
345.64603,877,1085.153872
909.762,3657,1085.293998
495.54932,893,1095.027333
824.7707,3016,1095.289396
392.47928,888,1095.419711
1311.0033,1947,1096.15397
1206.1932,1574,1105.823747
237.04851,2532,1106.011453
1780.0533,2885,1106.293499
1096.3232,4000,1106.842657
633.93695,1628,1116.780064
489.3016,754,1116.981597
947.32227,1773,1118.249415
2256.542,2641,1118.367731
723.0672,1148,1118.778787
1622.7115,3177,1118.904122
2085.1335,2757,1128.095286
1621.5557,3360,1128.202639
1308.5156,2215,1128.456722
1050.257,2514,1139.641331
1291.0577,1892,1140.064506
672.7172,1018,1140.160685
407.53998,677,1140.572745
1292.7543,3785,1140.712901
334.88217,1579,1150.800278
1836.4585,4000,1150.870182
661.8882,1721,1150.912369
296.3422,909,1151.000931
